BOOK_ISBN,BOOK_TITLE,BOOK_AUTHOR,BOOK_PUBLIC,BOOK_PRICE,BOOK_LINK,BOOK_IMAGE,BOOK_DESCRIPTION,BOOK_RENTAL,"(34235234234324, 'BOOK_RENTAL')"
9788970504773,파이썬과 데이터 과학,"천인국, 박동규, 강영민",생능출판,26000.0,https://book.naver.com/bookdb/book_detail.nhn?bid=17718057,sample_image/9788970504773.png,따라하며 배우는,False,True
9791162242032,팀 개발을 위한 Git GitHub 시작하기,"정호영, 진유림",한빛미디어,1800.0,https://book.naver.com/bookdb/book_detail.naver?bid=15986509,C:/Users/USER_20211207/Desktop/Program/Library_BOOK/sample_image/sample_book.png,"소스코드 버전 관리를 위한 깃 깃허브, 오픈소스 참여",False,True
9791165210397,모두의 딥러닝,조태호,길벗,24000.0,https://book.naver.com/bookdb/book_detail.naver?bid=16215446,sample_image/9791165210397.png,"2년 연속 베스트셀러, 내용과 소스 코드 전면 업그레이드 딥러닝 기초부터 최신 트렌드까지 한 권으로 공부하자",False,True
